iter	Accuracy	Logloss
0	0.9616438356	0.5432148888
1	0.9616438356	0.4334522572
2	0.9671232877	0.3607973762
3	0.9726027397	0.2946103348
4	0.9780821918	0.2475369778
5	0.9780821918	0.2155613979
6	0.9780821918	0.1876716281
7	0.9863013699	0.1669747488
8	0.9863013699	0.1424552277
9	0.9890410959	0.1284065698
10	0.9890410959	0.1171490328
11	0.9890410959	0.1089218197
12	0.9890410959	0.09985092129
13	0.9917808219	0.09264244754
14	0.9917808219	0.08511110719
15	0.9917808219	0.07795066356
16	0.9917808219	0.07328668959
17	0.9917808219	0.06823879918
18	0.9917808219	0.06276786423
19	0.9945205479	0.05903630627
